RecallID,Title,RecallDate,LastPublishDate,Hazard,Manufacturer,InjuryCount,URL
10311,More than One Million Anker Power Banks Recalled Due to Fire and Burn Hazards; Manufactured by Anker Innovations,2025-06-12T00:00:00,2025-06-12T00:00:00,"The lithium-ion battery in the power bank can overheat, posing fire and burn hazards to consumers.","Anker Innovations Limited, of China",1,https://www.cpsc.gov/Recalls/2025/More-than-One-Million-Anker-Power-Banks-Recalled-Due-to-Fire-and-Burn-Hazards-Manufactured-by-Anker-Innovations
10307,TTI Outdoor Power Equipment Recalls RYOBI 40-Volt 24-Inch Cordless Hedge Trimmers Due to Laceration Hazard,2025-06-12T00:00:00,2025-06-12T00:00:00,The hedge trimmer blade can unexpectedly activate after pressing just the safety or trigger control individually rather than engaging the safety and t,Unknown,1,https://www.cpsc.gov/Recalls/2025/TTI-Outdoor-Power-Equipment-Recalls-RYOBI-40-Volt-24-Inch-Cordless-Hedge-Trimmers-Due-to-Laceration-Hazard
10302,Apollo America Recalls Combination Smoke and Carbon Monoxide (CO) Detectors Due to Failure to Alert Consumers to a Fire or Carbon Monoxide Leak; Risk ,2025-06-05T00:00:00,2025-06-05T00:00:00,"The recalled detectors can malfunction and fail to alert consumers of a fire or carbon monoxide (CO) leak, posing a risk of smoke inhalation, carbon m","Apollo America Inc., of Auburn Hills, Michigan",1,https://www.cpsc.gov/Recalls/2025/Apollo-America-Recalls-Combination-Smoke-and-Carbon-Monoxide-Detectors-Due-to-Failure-to-Alert-Consumers-to-a-Fire-or-Carbon-Monoxide-Leak-Risk-of-Serious-Injury-or-Death-Sold-Exclusively-by-Vivint
10304,Direct Scaffold Supply Recalls Casters for Baker Scaffolding Due to Fall Hazard,2025-06-05T00:00:00,2025-06-05T00:00:00,"The recalled casters can contain faulty spot welds that can cause them to break or fail, making the scaffolding unstable and posing a fall hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Direct-Scaffold-Supply-Recalls-Casters-for-Baker-Scaffolding-Due-to-Fall-Hazard
10303,DR Power Equipment Recalls Battery-Powered Chainsaws Due to Fire and Burn Hazards,2025-06-05T00:00:00,2025-06-05T00:00:00,"The motor controller of the recalled chainsaw can overheat during operation of the unit, posing fire and burn hazards.",Unknown,1,https://www.cpsc.gov/Recalls/2025/DR-Power-Equipment-Recalls-Battery-Powered-Chainsaws-Due-to-Fire-and-Burn-Hazards
10298,Funlio Convertible High Chairs Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violation of Federal Standards for Hi,2025-06-05T00:00:00,2025-06-05T00:00:00,The recalled high chairs pose a deadly entrapment hazard because the opening between the seat and tray is large enough that a child can become entrapp,Unknown,1,https://www.cpsc.gov/Recalls/2025/Funlio-Convertible-High-Chairs-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-and-Entrapment-Hazards-Violation-of-Federal-Standards-for-High-Chairs-Sold-by-Ecogoods
10294,Hobby Toy Hammer Ball Sets Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Violation of Federal Regulation for Toys with Small Ba,2025-06-05T00:00:00,2025-06-05T00:00:00,The toy sets contain small balls that violate regulations for toys intended for children under three years of age because they are a choking hazard an,"Shantou Jinshanglu Toys Industry Co. Ltd., of Chin",1,https://www.cpsc.gov/Recalls/2025/Hobby-Toy-Hammer-Ball-Sets-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Hazard-Violation-of-Federal-Regulation-for-Toys-with-Small-Balls-Sold-Exclusively-on-Amazon-com-by-Shantou-Haochengheng-Technology
10305,HTP Brand Boilers Recalled Due to Fire and Carbon Monoxide (CO) Poisoning Hazards and Risk of Serious Injury or Death; Made by NTI Boilers,2025-06-05T00:00:00,2025-06-05T00:00:00,"The boiler door can fail to seal properly, due to incorrect burner door studs, allowing flames and gases to escape, posing fire and carbon monoxide (C","NTI Boilers Inc., of Canada",1,https://www.cpsc.gov/Recalls/2025/HTP-Brand-Boilers-Recalled-Due-to-Fire-and-Carbon-Monoxide-Poisoning-Hazards-and-Risk-of-Serious-Injury-or-Death-Made-by-NTI-Boilers
10291,"Johnson Health Tech Trading Recalls BowFlex Adjustable Dumbbells Due to Impact Hazard, Including 3.7 Million Sold by Nautilus Inc.",2025-06-05T00:00:00,2025-06-05T00:00:00,"The weight plates can dislodge from the handle during use, posing an impact hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Johnson-Health-Tech-Trading-Recalls-BowFlex-Adjustable-Dumbbells-Due-to-Impact-Hazard-Including-3-7-Million-Sold-by-Nautilus-Inc
10297,Lutron Recalls Power Interfaces for LED Tape Lights Due to Shock Hazard,2025-06-05T00:00:00,2025-06-05T00:00:00,"The power interface can fail during a significant power surge (e.g., lightning strike), posing a shock hazard to consumers if they touch the LED tape ",Unknown,1,https://www.cpsc.gov/Recalls/2025/Lutron-Recalls-Power-Interfaces-for-LED-Tape-Lights-Due-to-Shock-Hazard
10300,Midea Recalls About 1.7 Million U and U+ Window Air Conditioners Due to Risk of Mold Exposure,2025-06-05T00:00:00,2025-06-05T00:00:00,"Pooled water in the air conditioners can fail to drain quickly enough, which can lead to mold growth. Mold exposure poses risks of respiratory issues ","GD Midea Air-Conditioning Equipment Co. Ltd., of C",1,https://www.cpsc.gov/Recalls/2025/Midea-Recalls-About-1-7-Million-U-and-U-Window-Air-Conditioners-Due-to-Risk-of-Mold-Exposure
10306,NTI Brand Boilers Recalled Due to Fire and Carbon Monoxide (CO) Poisoning Hazards and Risk of Serious Injury or Death; Made by NTI Boilers,2025-06-05T00:00:00,2025-06-05T00:00:00,Not Specified,"NTI Boilers Inc., of Canada",1,https://www.cpsc.gov/Recalls/2025/NTI-Brand-Boilers-Recalled-Due-to-Fire-and-Carbon-Monoxide-CO-Poisoning-Hazards-and-Risk-of-Serious-Injury-or-Death-Made-by-NTI-Boilers
10296,Portable Hook-On Chairs Recalled Due to Risk of Serious Injury or Death from Fall Hazard; Violation of the Federal Standard for Portable Hook-On Chair,2025-06-05T00:00:00,2025-06-05T00:00:00,The recalled portable hook-on chair poses a deadly fall hazard because the crotch restraint can be removed without the use of a tool and infants can f,Unknown,1,https://www.cpsc.gov/Recalls/2025/Portable-Hook-On-Chairs-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-Hazard-Violation-of-the-Federal-Standard-for-Portable-Hook-On-Chairs-Sold-Exclusively-on-Amazon-com-by-Ravmix
10293,Rinnai America Recalls Boilers Due to Carbon Monoxide (CO) Poisoning Hazard,2025-06-05T00:00:00,2025-06-05T00:00:00,"The boiler door can fail to seal properly due to incorrect screws, allowing carbon monoxide (CO) gases to escape, posing a carbon monoxide poisoning h",Unknown,1,https://www.cpsc.gov/Recalls/2025/Rinnai-America-Recalls-Boilers-Due-to-Carbon-Monoxide-CO-Poisoning-Hazard
10299,Specialized Bicycle Components Recalls Globe-Branded Haul ST and LT E-Bikes Due to Fall Hazard,2025-06-05T00:00:00,2025-06-05T00:00:00,"When the lower portion of the e-bike's telescopic seat post is fully extended, the seat post can break, posing a fall hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Specialized-Bicycle-Components-Recalls-Globe-Branded-Haul-ST-and-LT-E-Bikes-Due-to-Fall-Hazard
10301,Yamaha Expands Recall of Golf Car Vehicles Due to Crash Hazard; Additional Models and New Repair to Replace Accelerator Pedal Spring Assembly,2025-06-05T00:00:00,2025-06-05T00:00:00,"The accelerator pedal spring can fail to return to idle when a consumer stops pressing the accelerator pedal, posing a crash hazard.","Yamaha Motor Corporation U.S.A., of Cypress, Calif",1,https://www.cpsc.gov/Recalls/2025/Yamaha-Expands-Recall-of-Golf-Car-Vehicles-Due-to-Crash-Hazard-Additional-Models-and-New-Repair-to-Replace-Accelerator-Pedal-Spring-Assembly
10295,ZHORANGE Portable Bassinets Recalled Due to Risk of Serious Injury or Death from Fall Hazard; Violation of Federal Standard for Infant Sleep Products;,2025-06-05T00:00:00,2025-06-05T00:00:00,The recalled portable bassinets violate the federal safety standard for Infant Sleep Products because the sides are too low to contain the infant and ,Unknown,1,https://www.cpsc.gov/Recalls/2025/ZHORANGE-Portable-Bassinets-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-Hazard-Violation-of-Federal-Standard-for-Infant-Sleep-Products-Sold-on-Amazon-com-by-DFD-Trading
10292,ZRWD Infant Swings Recalled Due to Risk of Serious Injury or Death from Suffocation Hazard; Multiple Federal Safety Violations; Sold Exclusively on Am,2025-06-05T00:00:00,2025-06-05T00:00:00,"The swings pose a deadly suffocation risk because they were marketed for infant sleep and they have an incline angle greater than 10 degrees, in viola",Unknown,1,https://www.cpsc.gov/Recalls/2025/ZRWD-Infant-Swings-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-Hazard-Multiple-Federal-Safety-Violations-Sold-Exclusively-on-Amazon-com-by-ZRWD
10287,BASDEHEN Brand Kitchen Faucets Recalled Due to Dangerous Lead Exposure for Young Children; Sold on Amazon.com by Chenfeng Store,2025-05-29T00:00:00,2025-05-29T00:00:00,The recalled faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to infants and young c,"Ruianshichenfengwujinzhizaoyouxiangongsi, of China",1,https://www.cpsc.gov/Recalls/2025/BASDEHEN-Brand-Kitchen-Faucets-Recalled-Due-to-Dangerous-Lead-Exposure-for-Young-Children-Sold-on-Amazon-com-by-Chenfeng-Store
10286,iWALK Magnetic Wireless Power Banks Recalled Due to Fire and Burn Hazards; Manufactured by U2O Global,2025-05-29T00:00:00,2025-05-29T00:00:00,"The lithium-ion batteries in the recalled power banks can overheat and ignite, posing a risk of serious injury or death from fire and burn hazards to ","U2O Global Co. Ltd., of China",1,https://www.cpsc.gov/Recalls/2025/iWALK-Magnetic-Wireless-Power-Banks-Recalled-Due-to-Fire-and-Burn-Hazards-Manufactured-by-U2O-Global
10288,KICIMPRO Brand Kitchen Faucets Recalled Due to Dangerous Lead Exposure for Young Children; Sold on Amazon.com by Kicimpro,2025-05-29T00:00:00,2025-05-29T00:00:00,The recalled faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to infants and young c,"Kaipingshikemuyulinweiyushiyeyouxiangongsi, of Chi",1,https://www.cpsc.gov/Recalls/2025/KICIMPRO-Brand-Kitchen-Faucets-Recalled-Due-to-Dangerous-Lead-Exposure-for-Young-Children-Sold-on-Amazon-com-by-Kicimpro
10283,Minka Lighting Recalls Vortic Flow Series Lights Due to Impact Injury Hazard,2025-05-29T00:00:00,2025-05-29T00:00:00,"The component that connects the recalled light to the ceiling mount can weaken, allowing the fixture to fall unexpectedly, posing a risk of injury fro",Unknown,1,https://www.cpsc.gov/Recalls/2025/Minka-Lighting-Recalls-Vortic-Flow-Series-Lights-Due-to-Impact-Injury-Hazard
10285,Playworld Systems Recalls Unity Teeter Tunnels with Lexan Tops Due to Risk of Serious Injury and Crush Hazard,2025-05-29T00:00:00,2025-05-29T00:00:00,"If a child accidentally falls underneath the Unity Teeter Tunnel, the end of the seesaw plank can land on them, posing a risk of serious injury and a ","Playworld Systems Inc., of Lewisburg, Pennsylvania",1,https://www.cpsc.gov/Recalls/2025/Playworld-Systems-Recalls-Unity-Teeter-Tunnels-with-Lexan-Tops-Due-to-Risk-of-Serious-Injury-and-Crush-Hazard
10290,The Step2 Company Recalls My First Snowman Toys Due to Risk of Serious Injury or Death from Choking Hazard,2025-05-29T00:00:00,2025-05-29T00:00:00,"The top hat on the recalled snowman can break into small pieces, posing a risk of serious injury or death to small children from choking.",Unknown,1,https://www.cpsc.gov/Recalls/2025/The-Step2-Company-Recalls-My-First-Snowman-Toys-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Hazard
10289,VFAUOSIT Brand Kitchen Faucets Recalled Due to Dangerous Lead Exposure for Young Children; Sold on Amazon.com by Whisper08,2025-05-29T00:00:00,2025-05-29T00:00:00,The recalled faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to infants and young c,"Jiang men cai nuo wei yu you xian gong si, of Chin",1,https://www.cpsc.gov/Recalls/2025/VFAUOSIT-Brand-Kitchen-Faucets-Recalled-Due-to-Dangerous-Lead-Exposure-for-Young-Children-Sold-on-Amazon-com-by-Whisper08
10284,WeHwupe Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation Hazards; Violation of Federal Regula,2025-05-29T00:00:00,2025-05-29T00:00:00,"The recalled bed rails violate federal regulations for adult portable bed rails, posing a serious entrapment hazard and risk of death by asphyxiation.","Nanjing Chunqu Clothing Co. Ltd., of China",1,https://www.cpsc.gov/Recalls/2025/WeHwupe-Adult-Portable-Bed-Rails-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Entrapment-and-Asphyxiation-Hazards-Violation-of-Federal-Regulations-for-Adult-Portable-Bed-Rails-Sold-on-Amazon-com-and-Walmart-com-by-WeHwupe-Store
10280,Areson Recalls Rolanstar 6-Drawer Dressers Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Multiple Violations of Federal,2025-05-22T00:00:00,2025-05-22T00:00:00,"The recalled dressers are unstable if they are not anchored to the wall, posing serious tip-over and entrapment hazards that can result in injuries or","Fujian Ming Jin Household Technology Limited, of C",1,https://www.cpsc.gov/Recalls/2025/Areson-Recalls-Rolanstar-6-Drawer-Dressers-Due-to-Risk-of-Serious-Injury-or-Death-from-Tip-Over-and-Entrapment-Hazards
10279,Macy's Recalls Holiday Lane Infant Footed Pajamas Due to Injury Hazard; Sold Exclusively by Macy's,2025-05-22T00:00:00,2025-05-22T00:00:00,"The elastic on the pajamas' ankles can be too tight and restrict blood circulation, posing an injury hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Macys-Recalls-Holiday-Lane-Infant-Footed-Pajamas-Due-to-Injury-Hazard-Sold-Exclusively-by-Macys
10278,Nezmdi Infant Swings Recalled Due to Risk of Serious Injury or Death from Suffocation Hazard; Multiple Federal Safety Violations; Sold Exclusively on ,2025-05-22T00:00:00,2025-05-22T00:00:00,"The swings pose a suffocation hazard and a risk of serious injury or death to babies, because they were marketed for infant sleep and have an incline ",Unknown,1,https://www.cpsc.gov/Recalls/2025/Nezmdi-Infant-Swings-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-Hazard-Multiple-Federal-Safety-Violations-Sold-Exclusively-on-Amazon-com-by-Nezmdi
10282,Primark Recalls DTR Plush Bag Stitch and DTR Plush Bag Angel Due to Choking and Ingestion Hazards,2025-05-22T00:00:00,2025-05-22T00:00:00,"The zipper pull on the back of the plush bags can detach, posing a risk of serious injury or death from choking and/or ingestion of the zipper pull.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Primark-Recalls-DTR-Plush-Bag-Stitch-and-DTR-Plush-Bag-Angel-Due-to-Choking-and-Ingestion-Hazards
10281,Sivan Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Multiple Violations of Federal Regulations for Cl,2025-05-22T00:00:00,2025-05-22T00:00:00,"The recalled dressers are unstable if they are not anchored to the wall, posing serious tip-over and entrapment hazards that can result in injuries or",Unknown,1,https://www.cpsc.gov/Recalls/2025/Sivan-Dressers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Tip-Over-and-Entrapment-Hazards
10268,Boyro Baby Recalls High Chairs Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violations of Federal Regulations for High Cha,2025-05-15T00:00:00,2025-05-15T00:00:00,The high chairs pose a deadly fall hazard to babies because the restraint system is not attached to the product and the locks or latches can fail. In ,Unknown,1,https://www.cpsc.gov/Recalls/2025/Boyro-Baby-Recalls-High-Chairs-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-and-Entrapment-Hazards-Violations-of-Federal-Regulations-for-High-Chairs-Sold-Exclusively-on-Amazon-com
10277,BuddyLove Recalls Children's Mini Danica Loungewear Sets Due to Risk of Serious Injuries or Death from Burn Hazard; Violation of Federal Regulations f,2025-05-15T00:00:00,2025-05-15T00:00:00,"The recalled children's pajama sets violate flammability standards for children's sleepwear, posing a burn hazard and risk of serious injuries or deat",Unknown,1,https://www.cpsc.gov/Recalls/2025/BuddyLove-Recalls-Childrens-Mini-Danica-Loungewear-Sets-Due-to-Risk-of-Serious-Injuries-or-Death-from-Burn-Hazard-Violation-of-Federal-Regulations-for-Childrens-Sleepwear
10276,Child Safety Gates Recalled Due to Risk of Serious Injury or Death from Entrapment and Fall Hazards; Violations of Federal Regulation for Gates and En,2025-05-15T00:00:00,2025-05-15T00:00:00,The recalled child safety gates violate the federal safety regulation for expansion gates and expandable enclosures because a child's torso can fit th,Unknown,1,https://www.cpsc.gov/Recalls/2025/Child-Safety-Gates-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Entrapment-and-Fall-Hazards-Violations-of-Federal-Regulation-for-Gates-and-Enclosures-Imported-by-Yiwu-Baili-Import-and-Export-Sold-on-Amazon-com
10271,Fat Brain Recalls Rollers Tile Toys Used in PlayTab Modular Activity Boards Due to Magnet Ingestion Hazard; Risk of Serious Injury or Death; Violation,2025-05-15T00:00:00,2025-05-15T00:00:00,"The recalled rollers tile toy violates the mandatory federal regulation for toy magnets because it contains a magnet that can become loose, posing an ",Unknown,1,https://www.cpsc.gov/Recalls/2025/Fat-Brain-Recalls-Rollers-Tile-Toys-Used-in-PlayTab-Modular-Activity-Boards-Due-to-Magnet-Ingestion-Hazard-Risk-of-Serious-Injury-or-Death-Violation-of-Federal-Regulations-for-Toy-Magnets
10275,FidgetThings Recalls Chill Pill Magnetic Haptic Fidget Toys Red Bumpy Due to Risk of Serious Injury or Death from Ingestion; Violation of Federal Regu,2025-05-15T00:00:00,2025-05-15T00:00:00,"The recalled magnetic fidget pill toy violates the mandatory federal regulation for magnets, posing an ingestion hazard to children. When high-powered","FidgetThings, of Las Vegas, Nevada",1,https://www.cpsc.gov/Recalls/2025/FidgetThings-Recalls-Chill-Pill-Magnetic-Haptic-Fidget-Toys-Red-Bumpy-Due-to-Risk-of-Serious-Injury-or-Death-from-Ingestion-Violation-of-Federal-Regulations-for-Magnets-Sold-Exclusively-on-FidgetThings-com
10273,KTM Recalls Off-Road Motorcycles Due to Crash Hazard Recall,2025-05-15T00:00:00,2025-05-15T00:00:00,"The front brake caliper can crack, reducing the braking system's effectiveness, posing a crash hazard.","KTM AG, of Austria",1,https://www.cpsc.gov/Recalls/2025/KTM-Recalls-Off-Road-Motorcycles-Due-to-Crash-Hazard-Recall
10270,Leon Rading Recalls Digital Wall Clocks Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Regulations for Consumer P,2025-05-15T00:00:00,2025-05-15T00:00:00,The recalled digital wall clocks violate the mandatory federal regulations for consumer products containing button cell or coin batteries. The remote ,Unknown,1,https://www.cpsc.gov/Recalls/2025/Leon-Rading-Recalls-Digital-Wall-Clocks-Due-to-Risk-of-Serious-Injury-or-Death-from-Ingestion-Hazard-Violations-of-Federal-Regulations-for-Consumer-Products-with-Coin-Batteries-Sold-Exclusively-on-Amazon-com
10272,LivingCaring Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation Hazards; Violation of Federal R,2025-05-15T00:00:00,2025-05-15T00:00:00,"The recalled bed rails violate federal regulations for adult portable bed rails, posing a serious entrapment hazard and risk of death by asphyxiation.",Unknown,1,https://www.cpsc.gov/Recalls/2025/LivingCaring-Adult-Portable-Bed-Rails-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Entrapment-and-Asphyxiation-Hazards-Violation-of-Federal-Regulations-for-Adult-Portable-Bed-Rails-Imported-by-Shanghai-Kai-Rong-Xin-Xi-Ke-Ji
10269,NICREW Submersible RGB LED Lights Recalled Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Regulations for Consume,2025-05-15T00:00:00,2025-05-15T00:00:00,"The Submersible RGB LED Light's remote control has a lithium coin battery that can be easily accessed by children, posing an ingestion hazard. This vi",Unknown,1,https://www.cpsc.gov/Recalls/2025/NICREW-Submersible-RGB-LED-Lights-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Ingestion-Hazard-Violations-of-Federal-Regulations-for-Consumer-Products-with-Coin-Batteries-Sold-on-Amazon-by-Nicrew
10274,Polaris Industries Recalls Ranger XP 1000 NorthStar and Ranger XP 1000 NorthStar Crew Recreational Off-Road Vehicles Due to Injury Hazard,2025-05-15T00:00:00,2025-05-15T00:00:00,"The lower seat belt anchor fasteners were not properly tightened, which can result in the seat belt separating from the vehicle frame, failing to prot","Polaris Industries Inc., of Medina, Minnesota",1,https://www.cpsc.gov/Recalls/2025/Polaris-Industries-Recalls-Ranger-XP-1000-NorthStar-and-Ranger-XP-1000-NorthStar-Crew-Recreational-Off-Road-Vehicles-Due-to-Injury-Hazard
10265,Delta Gas Ball Valves Recalled Due to Fire and Burn Hazards; Manufactured by Masco Canada,2025-05-08T00:00:00,2025-05-08T00:00:00,"Small amounts of gas can leak from the valve when it is in the open position, posing fire and burn hazards.","Masco Canada Limited, of Canada",1,https://www.cpsc.gov/Recalls/2025/Delta-Gas-Ball-Valves-Recalled-Due-to-Fire-and-Burn-Hazards-Manufactured-by-Masco-Canada
10260,DEMDACO Recalls Maril Brand Scented Candles Due to Laceration and Fire Hazards,2025-05-08T00:00:00,2025-05-08T00:00:00,"The candle's glass container can crack or break while the candle is burning, posing a laceration and fire hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/DEMDACO-Recalls-Maril-Brand-Scented-Candles-Due-to-Laceration-and-Fire-Hazards
10266,"Deuter Recalls Kid Comfort, Kid Comfort Pro and Kid Comfort Active Child Carriers Due to Fall Hazard",2025-05-08T00:00:00,2025-05-08T00:00:00,"The hinges on the foldable rear kickstand support leg can crack or break, posing a fall hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Deuter-Recalls-Kid-Comfort-Kid-Comfort-Pro-and-Kid-Comfort-Active-Child-Carriers-Due-to-Fall-Hazard
10263,Igloo Expands Recall of 90 Qt. Rolling Coolers Due to Fingertip Amputation and Crushing Hazards; Total Recalled Now Nearly 1.2 Million,2025-05-08T00:00:00,2025-05-08T00:00:00,"The tow handle can pinch consumers' fingertips against the cooler, posing fingertip amputation and crushing hazards.","Igloo Products Corp., of Katy, Texas",1,https://www.cpsc.gov/Recalls/2025/Igloo-Expands-Recall-of-90-Qt-Rolling-Coolers-Due-to-Fingertip-Amputation-and-Crushing-Hazards-Total-Recalled-Now-Nearly-1-2-Million
